rxn_id,path,atom_count,symbols,coords
kfir_rxn_13712,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_13712/calcs/TSs/TS0/conformer6,14,"[""C"", ""O"", ""C"", ""C"", ""N"", ""H"", ""H"", ""N"", ""C"", ""C"", ""C"", ""N"", ""H"", ""H""]","[[1.3814996388, 0.8217953351, 0.0160810923], [1.8845068138, 0.2914747117, 1.1615545655], [1.2124431347, 1.5483400681, 1.2755566438], [-0.0810691075, 1.5257208106, 1.939919138], [-1.1227786115, 1.4953214689, 2.4376580124], [2.0372039516, 1.0846381795, -0.8249329287], [1.8541571076, 2.3994826024, 1.5280908199], [-1.6095537948, 0.7831686069, -2.9621739657], [-1.3182093493, 0.2146374758, -1.9981396649], [-0.8954040884, -0.4296238622, -0.7747541569], [-0.5638574261, -1.8328521048, -0.8765199653], [-0.247344079, -2.9438266557, -0.928925341], [0.1999891936, 0.1662313853, -0.4383878334], [-1.5644496535, -0.2122870317, 0.0707279038]]"
kfir_rxn_13503,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_13503/calcs/TSs/TS0/conformer6,14,"[""C"", ""C"", ""N"", ""C"", ""S"", ""H"", ""H"", ""O"", ""C"", ""C"", ""Cl"", ""Cl"", ""Cl"", ""H""]","[[0.3298346745, -2.182048142, 0.1550868012], [0.4731428551, -1.8402745734, 1.5719248209], [-0.5753982478, -1.9764147734, 2.3303190425], [-1.6171634977, -2.6325452055, 1.7317269225], [-1.312786173, -2.8620272259, 0.0431071028], [1.1185105003, -2.7721904404, -0.3319447633], [1.394706814, -1.3996514052, 1.9680985485], [0.679810172, 0.1126114746, -2.4998667169], [0.512927504, 0.1593351737, -1.3401975646], [0.2877328587, 1.415612899, -0.4661757225], [-1.2242822666, 1.1391364383, 0.4192850448], [0.2054456166, 2.8935550388, -1.4311599618], [1.6760772238, 1.4678093517, 0.6515165644], [0.415377126, -1.0930179304, -0.4698879586]]"
kfir_rxn_9205,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_9205/calcs/TSs/TS0/conformer4,10,"[""N"", ""C"", ""C"", ""N"", ""N"", ""H"", ""H"", ""O"", ""H"", ""H""]","[[0.9749386995, 0.1882555683, -0.2917114651], [-0.2140029062, -0.4188147244, -0.1137535335], [-0.9608583269, 0.483659604, 0.6057197066], [-0.169826508, 1.5652497305, 0.835342931], [0.9918277033, 1.3847182094, 0.2943620925], [1.7964734902, -0.1621864931, -0.7706403931], [-1.9811977506, 0.4187430558, 0.9721506057], [-0.4570810599, -2.4101067534, -1.4145423033], [-0.4246823026, -1.642261137, -0.5776227726], [-1.0388485188, -1.9703105502, -2.0538751283]]"
kfir_rxn_8057,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_8057/calcs/TSs/TS0/conformer6,14,"[""N"", ""C"", ""N"", ""C"", ""N"", ""H"", ""H"", ""C"", ""C"", ""N"", ""N"", ""O"", ""H"", ""H""]","[[-0.4905862125, -1.6425352459, 0.3405112487], [0.3042624565, -1.1813011418, 1.3664971312], [1.3474430317, -0.4764109153, 1.1694510718], [-0.1133021845, -1.6333935489, 2.6966146639], [-0.4201224277, -1.9650730793, 3.7604378262], [-1.4786925423, -1.7358292437, 0.5824378095], [1.849718173, -0.2973129742, 2.0383914473], [0.5588370585, 1.1355314802, -1.4735774582], [-0.3973768755, 0.1732294438, -1.3937611254], [-1.3856966132, 0.5054537244, -2.2548680265], [-1.094683035, 1.575542524, -2.8515945168], [0.1423456426, 2.0078154526, -2.3809267524], [1.509827064, 1.2905550833, -0.9738676078], [-0.3839913856, -0.9363025792, -0.6318396416]]"
kfir_rxn_9652,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_9652/calcs/TSs/TS0/conformer6,10,"[""O"", ""C"", ""C"", ""N"", ""H"", ""H"", ""N"", ""H"", ""H"", ""H""]","[[0.2662862706, 0.3988981749, 1.4965968333], [0.5312887347, 0.3543121797, 0.1422437207], [-0.6050329683, 0.8213574148, -0.6383421634], [-1.4991753418, 1.1324356316, -1.3020826222], [1.0559274918, 0.1182173786, 1.969411969], [1.4460980918, 0.8904608957, -0.1695453535], [0.6610544951, -2.1601058594, -0.5732584769], [0.7406593963, -0.8130274987, -0.2146931575], [-0.1652396022, -2.4084224784, -0.0098766598], [0.2649265519, -2.0545418188, -1.5187970197]]"
kfir_rxn_9248,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_9248/calcs/TSs/TS0/conformer6,14,"[""N"", ""N"", ""C"", ""C"", ""N"", ""H"", ""H"", ""O"", ""C"", ""C"", ""N"", ""H"", ""H"", ""H""]","[[-0.4270449435, -0.7938163391, 1.2962874516], [-0.545692288, -0.7397188634, 0.0022201715], [-1.6839396665, -1.3284842639, -0.4563434698], [-2.348427876, -1.802081489, 0.6611946921], [-1.514098121, -1.4317039479, 1.6711009332], [-1.9233096571, -1.3688189802, -1.5145566103], [-1.6552357688, -1.5968682844, 2.6622227371], [1.7816770025, 0.5324215566, -2.1433731871], [1.5955174597, 0.5791836635, -0.7833766435], [1.4055462568, 1.8918272026, -0.2040542283], [1.1639948337, 2.9391936543, 0.2291994961], [1.2164481898, 1.1849078591, -2.5722151105], [0.4729384412, -0.0908148866, -0.4768975946], [2.3616904272, -0.0132012516, -0.2671948677]]"
kfir_rxn_7559,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_7559/calcs/TSs/TS0/conformer6,14,"[""N"", ""C"", ""N"", ""C"", ""N"", ""H"", ""H"", ""C"", ""C"", ""O"", ""H"", ""H"", ""H"", ""H""]","[[-1.9747744801, 0.7000089087, 2.1370804701], [-0.9962076371, 0.4329163029, 1.2233373129], [-0.9104181241, -0.6798671822, 0.6033136625], [-0.0329423723, 1.5208698916, 1.0474592062], [0.7278700226, 2.3775242352, 0.8982919153], [-2.7316469135, 0.0320280993, 2.2115149741], [-2.1629112769, 1.6559743189, 2.4041930954], [1.1962418356, -0.6085797005, -0.8999021796], [1.0208945728, -1.6896460822, -1.8960706173], [0.5697628585, -1.5197335776, -3.0017083109], [0.1303624313, -0.7104693832, -0.176982709], [2.006118943, -0.7619865037, -0.1753235626], [1.1605726217, 0.4005123609, -1.328374094], [1.3111438684, -2.7130009382, -1.5483040732]]"
kfir_rxn_7125,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_7125/calcs/TSs/TS0/conformer6,14,"[""N"", ""N"", ""N"", ""C"", ""C"", ""N"", ""H"", ""O"", ""C"", ""C"", ""Cl"", ""Cl"", ""Cl"", ""H""]","[[-0.0630671707, -1.7532722362, 1.6172750001], [-0.0168015857, -2.8243907933, 2.3099758942], [0.0445492774, -4.0276722975, 1.7266047982], [0.0504826959, -4.1169708369, 0.4196491704], [0.0060397112, -2.9635107654, -0.4308598514], [-0.0459891386, -1.8866784417, 0.2868725165], [0.0961433978, -5.1297920031, 0.007574665], [-0.1012969215, -0.011590703, -2.3476620706], [-0.0670562569, 0.2681597508, -1.2052025428], [0.0216163961, 1.6938219014, -0.6064837492], [-1.4529356107, 1.8999736147, 0.3641612819], [0.1354713325, 2.9347084571, -1.8598965943], [1.4670996221, 1.6979416018, 0.427317716], [-0.0742544888, -0.7985328888, -0.269538294]]"
kfir_rxn_7531,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_7531/calcs/TSs/TS0/conformer6,14,"[""C"", ""O"", ""C"", ""O"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""N"", ""C"", ""O"", ""H""]","[[-0.2276621727, 3.8474619488, 1.1608842819], [-0.1947679794, 2.4804237268, 0.7478088516], [0.3269331811, 2.2352245639, -0.4370035534], [0.7804672254, 3.0165497697, -1.2124793101], [-0.8270793242, 4.444777989, 0.4599252957], [-0.6860445442, 3.8523519647, 2.1547176482], [0.7904135627, 4.2584453124, 1.2066388511], [0.6284127841, -3.57545002, 0.8989088556], [0.2166319952, -2.6375193424, 0.318523827], [-0.8512137722, -2.5643360719, -0.4909128721], [-0.9877305292, -1.2359745728, -0.9785231526], [-0.0142630066, -0.6383174087, -0.4419334028], [0.7701055821, -1.3564817879, 0.3487130705], [0.2758015378, 1.0911460786, -0.6174160707]]"
kfir_rxn_11915,/home/calvin/Dropbox/PersonalFolders/Calvin/Kfir_HAb_Converged/kfir_rxn_11915/calcs/TSs/TS0/conformer6,14,"[""C"", ""C"", ""S"", ""C"", ""N"", ""H"", ""H"", ""O"", ""C"", ""C"", ""N"", ""H"", ""H"", ""H""]","[[-0.6023189907, 0.1734222305, 0.2997210083], [0.0122515559, 0.6623425669, -0.81451221], [-0.067998354, 2.3839403029, -0.7396088038], [-0.9032598575, 2.2656378203, 0.7692036624], [-1.1035373473, 1.0472752522, 1.1813721898], [0.4928754844, 0.125826118, -1.630806545], [-1.2219651685, 3.1582907484, 1.3109377079], [-0.5565473584, -2.2563057976, 0.7490475973], [0.7978423297, -2.5023186632, 0.8677193613], [1.5240027442, -2.405122503, -0.4196769538], [2.0490732974, -2.2716334699, -1.4401361976], [-0.7103602851, -1.1042655958, 0.5241208507], [1.3024002809, -1.8402900671, 1.5953861473], [0.905223929, -3.5325140926, 1.2494487251]]"
